poolId,drawId,publicationVersion,ticketIndex,numbers,special,serial
powerball,2026-08-12,1,1,30-38-46-47-59,6,229FA152FDBC296D5
powerball,2026-08-12,1,2,16-33-48-53-61,26,2C7E74FE1ED4B124A
powerball,2026-08-12,1,3,17-22-40-46-49,1,2C7E74FE1ED4B124A
powerball,2026-08-12,1,4,17-26-41-47-50,20,2C7E74FE1ED4B124A
powerball,2026-08-12,1,5,19-23-32-57-58,23,2C7E74FE1ED4B124A
powerball,2026-08-12,1,6,20-21-45-52-58,18,2C7E74FE1ED4B124A
powerball,2026-08-12,1,7,20-33-39-43-46,16,2C7E74FE1ED4B124A
powerball,2026-08-12,1,8,23-30-42-63-67,2,2C7E74FE1ED4B124A
powerball,2026-08-12,1,9,23-34-39-50-65,21,2C7E74FE1ED4B124A
powerball,2026-08-12,1,10,26-29-31-46-69,7,2C7E74FE1ED4B124A
powerball,2026-08-12,1,11,26-45-55-59-62,21,2C7E74FE1ED4B124A
powerball,2026-08-12,1,12,1-3-14-32-66,3,2F182CC787CA16571
powerball,2026-08-12,1,13,1-6-30-37-52,1,2F182CC787CA16571
powerball,2026-08-12,1,14,1-8-28-62-69,16,2F182CC787CA16571
powerball,2026-08-12,1,15,1-18-20-35-56,24,2F182CC787CA16571
powerball,2026-08-12,1,16,1-36-38-39-48,4,2F182CC787CA16571
powerball,2026-08-12,1,17,2-8-29-52-65,26,2F182CC787CA16571
powerball,2026-08-12,1,18,2-9-17-32-48,18,2F182CC787CA16571
powerball,2026-08-12,1,19,2-21-25-56-66,2,2F182CC787CA16571
powerball,2026-08-12,1,20,2-24-33-40-55,5,2F182CC787CA16571
powerball,2026-08-12,1,21,2-27-42-57-60,13,2F182CC787CA16571
powerball,2026-08-12,1,22,3-9-30-56-58,23,2F182CC787CA16571
powerball,2026-08-12,1,23,3-22-41-52-53,15,2F182CC787CA16571
powerball,2026-08-12,1,24,3-25-26-36-63,15,2F182CC787CA16571
powerball,2026-08-12,1,25,3-27-28-54-65,12,2F182CC787CA16571
powerball,2026-08-12,1,26,4-5-21-34-60,25,2F182CC787CA16571
powerball,2026-08-12,1,27,4-12-51-53-57,9,2F182CC787CA16571
powerball,2026-08-12,1,28,4-13-28-42-49,3,2F182CC787CA16571
powerball,2026-08-12,1,29,4-44-48-67-69,8,2F182CC787CA16571
powerball,2026-08-12,1,30,5-10-37-58-61,5,2F182CC787CA16571
powerball,2026-08-12,1,31,5-16-23-43-64,4,2F182CC787CA16571
powerball,2026-08-12,1,32,5-18-39-41-54,21,2F182CC787CA16571
powerball,2026-08-12,1,33,5-19-29-40-56,12,2F182CC787CA16571
powerball,2026-08-12,1,34,6-13-23-48-60,22,2F182CC787CA16571
powerball,2026-08-12,1,35,6-14-19-47-69,22,2F182CC787CA16571
powerball,2026-08-12,1,36,6-32-43-55-68,8,2F182CC787CA16571
powerball,2026-08-12,1,37,6-33-35-42-45,17,2F182CC787CA16571
powerball,2026-08-12,1,38,7-12-15-36-58,19,2F182CC787CA16571
powerball,2026-08-12,1,39,7-18-25-34-37,3,2F182CC787CA16571
powerball,2026-08-12,1,40,7-29-33-60-64,12,2F182CC787CA16571
powerball,2026-08-12,1,41,7-31-54-59-66,13,2F182CC787CA16571
powerball,2026-08-12,1,42,8-16-31-45-68,11,2F182CC787CA16571
powerball,2026-08-12,1,43,8-22-27-64-67,14,2F182CC787CA16571
powerball,2026-08-12,1,44,8-35-43-44-59,16,2F182CC787CA16571
powerball,2026-08-12,1,45,9-28-44-53-60,2,2F182CC787CA16571
powerball,2026-08-12,1,46,9-29-47-54-62,24,2F182CC787CA16571
powerball,2026-08-12,1,47,10-12-41-59-69,24,2F182CC787CA16571
powerball,2026-08-12,1,48,10-21-27-46-55,19,2F182CC787CA16571
powerball,2026-08-12,1,49,10-31-38-50-67,18,2F182CC787CA16571
powerball,2026-08-12,1,50,11-15-20-44-51,11,2F182CC787CA16571
powerball,2026-08-12,1,51,11-17-36-57-62,10,2F182CC787CA16571
powerball,2026-08-12,1,52,11-24-25-49-54,6,2F182CC787CA16571
powerball,2026-08-12,1,53,11-30-31-40-61,25,2F182CC787CA16571
powerball,2026-08-12,1,54,11-37-50-63-66,9,2F182CC787CA16571
powerball,2026-08-12,1,55,12-22-37-45-65,7,2F182CC787CA16571
powerball,2026-08-12,1,56,13-19-36-50-68,8,2F182CC787CA16571
powerball,2026-08-12,1,57,13-24-51-56-63,9,2F182CC787CA16571
powerball,2026-08-12,1,58,14-16-18-51-67,10,2F182CC787CA16571
powerball,2026-08-12,1,59,14-25-27-41-68,17,2F182CC787CA16571
powerball,2026-08-12,1,60,15-24-35-53-64,20,2F182CC787CA16571
powerball,2026-08-12,1,61,15-34-38-49-61,14,2F182CC787CA16571
sha256,4d67a42d5ce8537a5b1a621fdd392bdc6feb57abf3cbc4cc9bb9153ef056a2b6,,,,,
